PhraseId,SentenceId,Phrase,Sentiment
104,3,"['hard', 'time', 'sitting', 'one']",0
106,3,"['hard', 'time', 'sitting', 'one']",1
107,3,"['hard', 'time']",1
109,3,['hard'],2
110,3,['time'],2
111,3,"['sitting', 'one']",1
112,3,['sitting'],2
113,3,['one'],2
117,4,"['positively', 'thrilling', 'combination', 'ethnography', 'intrigue', 'betrayal', 'deceit', 'murder', 'Shakespearean', 'tragedy', 'juicy', 'soap', 'opera']",3
118,4,"['positively', 'thrilling', 'combination', 'ethnography', 'intrigue', 'betrayal', 'deceit', 'murder', 'Shakespearean', 'tragedy', 'juicy', 'soap', 'opera']",4
119,4,"['positively', 'thrilling', 'combination', 'ethnography', 'intrigue', 'betrayal', 'deceit', 'murder']",4
120,4,"['positively', 'thrilling', 'combination']",3
122,4,['positively'],3
123,4,"['thrilling', 'combination']",3
124,4,['thrilling'],4
125,4,['combination'],2
126,4,"['ethnography', 'intrigue', 'betrayal', 'deceit', 'murder']",2
128,4,['ethnography'],2
130,4,"['intrigue', 'betrayal', 'deceit', 'murder']",2
132,4,"['intrigue', 'betrayal', 'deceit', 'murder']",1
134,4,['intrigue'],3
135,4,"['betrayal', 'deceit', 'murder']",2
136,4,"['betrayal', 'deceit', 'murder']",1
137,4,['betrayal'],2
138,4,"['deceit', 'murder']",1
140,4,['deceit'],2
141,4,['deceit'],1
142,4,['murder'],1
143,4,"['Shakespearean', 'tragedy', 'juicy', 'soap', 'opera']",2
145,4,"['Shakespearean', 'tragedy']",2
146,4,"['Shakespearean', 'tragedy']",1
148,4,['Shakespearean'],2
149,4,['tragedy'],1
151,4,"['juicy', 'soap', 'opera']",3
153,4,['juicy'],3
154,4,"['soap', 'opera']",1
155,4,['soap'],2
156,4,['opera'],2
157,5,"['Aggressive', 'self', 'glorification', 'manipulative', 'whitewash']",1
158,5,"['Aggressive', 'self', 'glorification', 'manipulative', 'whitewash']",0
159,5,['Aggressive'],2
160,5,"['self', 'glorification', 'manipulative', 'whitewash']",0
161,5,"['self', 'glorification']",1
162,5,"['self', 'glorification']",2
163,5,"['manipulative', 'whitewash']",1
165,5,['manipulative'],2
166,5,['whitewash'],2
167,6,"['comedy', 'drama', 'nearly', 'epic', 'proportions', 'rooted', 'sincere', 'performance', 'title', 'character', 'undergoing', 'midlife', 'crisis']",4
168,6,"['comedy', 'drama', 'nearly', 'epic', 'proportions']",3
169,6,"['comedy', 'drama']",2
171,6,"['nearly', 'epic', 'proportions']",3
172,6,"['nearly', 'epic', 'proportions']",2
173,6,"['nearly', 'epic']",4
174,6,['nearly'],2
175,6,['epic'],3
176,6,['proportions'],2
177,6,"['rooted', 'sincere', 'performance', 'title', 'character', 'undergoing', 'midlife', 'crisis']",4
178,6,"['rooted', 'sincere', 'performance', 'title', 'character', 'undergoing', 'midlife', 'crisis']",3
179,6,"['rooted', 'sincere', 'performance']",3
180,6,['rooted'],3
181,6,"['sincere', 'performance']",4
185,6,['sincere'],3
186,6,['performance'],2
187,6,"['title', 'character', 'undergoing', 'midlife', 'crisis']",2
190,6,"['title', 'character']",2
192,6,['title'],2
193,6,['character'],2
194,6,"['undergoing', 'midlife', 'crisis']",2
195,6,['undergoing'],2
196,6,"['midlife', 'crisis']",1
197,6,['midlife'],2
198,6,['crisis'],2
199,7,"['Narratively', 'Trouble', 'Every', 'Day', 'plodding', 'mess']",1
200,7,['Narratively'],2
201,7,"['Trouble', 'Every', 'Day', 'plodding', 'mess']",1
202,7,"['Trouble', 'Every', 'Day', 'plodding', 'mess']",0
203,7,"['Trouble', 'Every', 'Day']",2
204,7,['Trouble'],1
205,7,"['Every', 'Day']",2
206,7,['Every'],2
207,7,['Day'],2
208,7,"['plodding', 'mess']",1
209,7,"['plodding', 'mess']",0
212,7,['plodding'],1
213,7,['mess'],1
214,8,"['The', 'Importance', 'Being', 'Earnest', 'thick', 'wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",3
215,8,"['The', 'Importance']",2
216,8,['Importance'],3
217,8,"['Being', 'Earnest', 'thick', 'wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",2
218,8,"['Being', 'Earnest', 'thick', 'wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",3
219,8,['Being'],2
220,8,"['Earnest', 'thick', 'wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",2
221,8,['Earnest'],3
223,8,"['thick', 'wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",2
225,8,"['thick', 'wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",3
226,8,['thick'],2
227,8,"['wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",3
229,8,"['wit', 'plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",2
230,8,['wit'],2
231,8,"['plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",2
233,8,"['plays', 'like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",3
234,8,['plays'],2
235,8,"['like', 'reading', 'Bartlett', 'Familiar', 'Quotations']",2
236,8,['like'],2
237,8,"['reading', 'Bartlett', 'Familiar', 'Quotations']",2
238,8,['reading'],2
240,8,"['Bartlett', 'Familiar', 'Quotations']",2
243,8,['Bartlett'],2
245,8,"['Familiar', 'Quotations']",2
246,8,['Familiar'],2
247,8,['Quotations'],2
248,9,"['But', 'leave', 'much']",1
249,9,"['leave', 'much']",1
255,9,"['leave', 'much']",2
256,9,['leave'],2
257,9,['leave'],1
260,10,"['You', 'could', 'hate', 'reason']",1
261,10,"['could', 'hate', 'reason']",1
262,10,"['could', 'hate', 'reason']",0
263,10,['could'],2
264,10,"['hate', 'reason']",1
265,10,['hate'],0
267,10,['reason'],2
272,11,"['There', 'little', 'recommend', 'Snow', 'Dogs', 'unless', 'one', 'considers', 'cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",1
273,11,['There'],2
274,11,"['little', 'recommend', 'Snow', 'Dogs', 'unless', 'one', 'considers', 'cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",1
276,11,"['little', 'recommend', 'Snow', 'Dogs']",1
278,11,"['little', 'recommend', 'Snow', 'Dogs']",2
279,11,['little'],2
280,11,"['recommend', 'Snow', 'Dogs']",2
281,11,"['recommend', 'Snow', 'Dogs']",4
282,11,['recommend'],3
283,11,"['Snow', 'Dogs']",2
284,11,['Snow'],2
285,11,['Dogs'],2
286,11,"['unless', 'one', 'considers', 'cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",1
287,11,['unless'],2
288,11,"['one', 'considers', 'cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",2
289,11,"['considers', 'cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",2
290,11,['considers'],2
291,11,"['cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",1
292,11,"['cliched', 'dialogue', 'perverse', 'escapism']",1
293,11,"['cliched', 'dialogue']",1
295,11,['cliched'],1
296,11,['dialogue'],2
297,11,"['perverse', 'escapism']",2
298,11,['perverse'],1
299,11,['escapism'],2
300,11,"['source', 'high', 'hilarity']",3
301,11,['source'],2
303,11,"['high', 'hilarity']",3
304,11,"['high', 'hilarity']",4
305,11,['high'],3
306,11,['hilarity'],3
307,12,"['Kung', 'Pow', 'Oedekerk', 'realization', 'childhood', 'dream', 'martial', 'arts', 'flick', 'proves', 'sometimes', 'dreams', 'youth', 'remain']",1
308,12,"['Kung', 'Pow']",2
309,12,['Kung'],2
310,12,['Pow'],3
311,12,"['Oedekerk', 'realization', 'childhood', 'dream', 'martial', 'arts', 'flick', 'proves', 'sometimes', 'dreams', 'youth', 'remain']",2
312,12,"['Oedekerk', 'realization', 'childhood', 'dream', 'martial', 'arts', 'flick', 'proves', 'sometimes', 'dreams', 'youth', 'remain']",0
313,12,"['Oedekerk', 'realization', 'childhood', 'dream', 'martial', 'arts', 'flick']",2
317,12,"['Oedekerk', 'realization', 'childhood', 'dream']",2
318,12,"['Oedekerk', 'realization']",2
319,12,['Oedekerk'],2
321,12,['realization'],2
322,12,"['childhood', 'dream']",2
326,12,['childhood'],2
327,12,['dream'],3
328,12,"['martial', 'arts', 'flick']",2
334,12,"['martial', 'arts']",2
335,12,['flick'],2
336,12,"['proves', 'sometimes', 'dreams', 'youth', 'remain']",1
337,12,['proves'],2
338,12,"['sometimes', 'dreams', 'youth', 'remain']",1
340,12,['sometimes'],2
341,12,"['dreams', 'youth', 'remain']",2
342,12,"['dreams', 'youth']",3
343,12,['dreams'],2
345,12,['youth'],2
347,12,['remain'],2
353,13,"['The', 'performances', 'absolute', 'joy']",4
354,13,"['The', 'performances']",2
355,13,['performances'],2
356,13,"['absolute', 'joy']",4
357,13,"['absolute', 'joy']",3
362,13,['absolute'],2
363,13,['joy'],4
364,14,"['Fresnadillo', 'something', 'serious', 'say', 'ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",3
365,14,['Fresnadillo'],2
366,14,"['something', 'serious', 'say', 'ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",3
370,14,['something'],2
371,14,"['serious', 'say', 'ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",2
372,14,['serious'],2
373,14,"['say', 'ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",3
374,14,"['say', 'ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",2
375,14,['say'],2
376,14,"['ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",2
378,14,"['ways', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",1
379,14,['ways'],2
381,14,"['extravagant', 'chance', 'distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",2
384,14,"['extravagant', 'chance']",2
385,14,['extravagant'],4
386,14,['chance'],2
387,14,"['distort', 'perspective', 'throw', 'us', 'path', 'good', 'sense']",2
390,14,"['distort', 'perspective']",2
392,14,['distort'],2
393,14,['perspective'],2
396,14,"['throw', 'us', 'path', 'good', 'sense']",2
397,14,"['throw', 'us']",2
398,14,['throw'],2
399,14,['us'],3
400,14,"['path', 'good', 'sense']",1
402,14,"['path', 'good', 'sense']",2
403,14,['path'],2
405,14,"['good', 'sense']",3
407,14,['sense'],2
408,15,"['still', 'like', 'Moonlight', 'Mile', 'better', 'judgment', 'damned']",3
410,15,['still'],2
411,15,"['like', 'Moonlight', 'Mile', 'better', 'judgment', 'damned']",2
413,15,"['Moonlight', 'Mile', 'better', 'judgment', 'damned']",2
414,15,"['Moonlight', 'Mile', 'better', 'judgment']",2
415,15,['Moonlight'],2
416,15,"['Mile', 'better', 'judgment']",2
417,15,['Mile'],2
418,15,"['better', 'judgment']",2
420,15,['better'],4
421,15,['judgment'],2
422,15,['damned'],2
423,15,['damned'],1
424,16,"['welcome', 'relief', 'baseball', 'movies', 'try', 'hard', 'mythic', 'one', 'sweet', 'modest', 'ultimately', 'winning', 'story']",3
425,16,"['welcome', 'relief', 'baseball', 'movies', 'try', 'hard', 'mythic']",3
426,16,"['welcome', 'relief']",3
428,16,['welcome'],2
429,16,['relief'],2
430,16,"['baseball', 'movies', 'try', 'hard', 'mythic']",1
431,16,"['baseball', 'movies', 'try', 'hard', 'mythic']",0
432,16,"['baseball', 'movies']",2
433,16,['baseball'],2
434,16,['movies'],2
435,16,"['try', 'hard', 'mythic']",1
437,16,['try'],2
438,16,"['hard', 'mythic']",1
441,16,['mythic'],2
444,16,"['one', 'sweet', 'modest', 'ultimately', 'winning', 'story']",3
445,16,"['one', 'sweet', 'modest', 'ultimately', 'winning', 'story']",4
446,16,"['sweet', 'modest', 'ultimately', 'winning', 'story']",4
447,16,"['sweet', 'modest', 'ultimately', 'winning', 'story']",3
449,16,"['sweet', 'modest']",3
450,16,"['sweet', 'modest']",4
452,16,['sweet'],3
453,16,['sweet'],4
454,16,['modest'],3
455,16,"['ultimately', 'winning', 'story']",4
456,16,['ultimately'],2
457,16,"['winning', 'story']",3
458,16,['winning'],3
459,17,"['bilingual', 'charmer', 'like', 'woman', 'inspired']",3
460,17,"['bilingual', 'charmer']",3
463,17,['bilingual'],2
464,17,['charmer'],3
465,17,"['like', 'woman', 'inspired']",2
467,17,"['woman', 'inspired']",2
468,17,['woman'],2
470,17,['inspired'],2
473,17,['inspired'],3
474,18,"['Like', 'less', 'dizzily', 'gorgeous', 'companion', 'Mr', 'Wong', 'In', 'Mood', 'Love', 'much', 'Hong', 'Kong', 'movie', 'despite', 'mainland', 'setting']",2
475,18,"['Like', 'less', 'dizzily', 'gorgeous', 'companion', 'Mr']",3
476,18,"['less', 'dizzily', 'gorgeous', 'companion', 'Mr']",2
477,18,"['less', 'dizzily', 'gorgeous', 'companion']",2
479,18,"['less', 'dizzily', 'gorgeous']",2
480,18,['less'],2
481,18,"['dizzily', 'gorgeous']",4
482,18,['dizzily'],2
483,18,['gorgeous'],3
484,18,['companion'],3
485,18,['Mr'],2
487,18,"['Wong', 'In', 'Mood', 'Love', 'much', 'Hong', 'Kong', 'movie', 'despite', 'mainland', 'setting']",2
488,18,['Wong'],2
489,18,"['In', 'Mood', 'Love', 'much', 'Hong', 'Kong', 'movie', 'despite', 'mainland', 'setting']",2
491,18,"['In', 'Mood', 'Love', 'much', 'Hong', 'Kong', 'movie']",2
492,18,"['In', 'Mood', 'Love', 'much', 'Hong', 'Kong', 'movie']",3
493,18,"['Mood', 'Love', 'much', 'Hong', 'Kong', 'movie']",2
494,18,['Mood'],3
495,18,['Mood'],2
496,18,"['Love', 'much', 'Hong', 'Kong', 'movie']",2
497,18,"['Love', 'much', 'Hong', 'Kong', 'movie']",3
498,18,"['Love', 'much']",4
499,18,['Love'],3
500,18,['Love'],4
504,18,"['Hong', 'Kong', 'movie']",2
506,18,['Hong'],2
507,18,"['Kong', 'movie']",2
508,18,['Kong'],2
509,18,['movie'],2
510,18,"['despite', 'mainland', 'setting']",2
511,18,['despite'],2
512,18,"['mainland', 'setting']",3
514,18,"['mainland', 'setting']",2
515,18,['mainland'],2
516,18,['setting'],2
517,19,"['As', 'inept', 'big', 'screen', 'remakes', 'The', 'Avengers', 'The', 'Wild', 'Wild', 'West']",1
518,19,"['As', 'inept', 'big', 'screen', 'remakes', 'The', 'Avengers', 'The', 'Wild', 'Wild', 'West']",2
519,19,"['As', 'inept']",1
520,19,['As'],2
521,19,['inept'],1
522,19,"['big', 'screen', 'remakes', 'The', 'Avengers', 'The', 'Wild', 'Wild', 'West']",1
523,19,"['big', 'screen', 'remakes', 'The', 'Avengers', 'The', 'Wild', 'Wild', 'West']",2
524,19,"['big', 'screen', 'remakes']",2
525,19,"['big', 'screen']",2
526,19,['remakes'],2
527,19,"['The', 'Avengers', 'The', 'Wild', 'Wild', 'West']",2
529,19,"['The', 'Avengers']",2
531,19,['Avengers'],2
532,19,"['The', 'Wild', 'Wild', 'West']",3
533,19,"['Wild', 'Wild', 'West']",2
534,19,['Wild'],3
535,19,"['Wild', 'West']",2
536,19,['West'],2
537,20,"['It', 'everything', 'expect', 'nothing']",2
538,20,"['everything', 'expect', 'nothing']",1
539,20,"['everything', 'expect', 'nothing']",2
541,20,['everything'],2
542,20,"['expect', 'nothing']",1
543,20,"['expect', 'nothing']",2
547,20,['expect'],2
549,20,['nothing'],2
550,20,['nothing'],1
552,21,"['Best', 'indie', 'year', 'far']",4
553,21,['Best'],4
554,21,"['indie', 'year', 'far']",3
555,21,"['indie', 'year', 'far']",4
556,21,"['indie', 'year']",3
558,21,['indie'],2
559,21,['year'],2
562,21,['far'],2
564,22,"['Hatfield', 'Hicks', 'make', 'oddest', 'couples', 'sense', 'movie', 'becomes', 'study', 'gambles', 'publishing', 'world', 'offering', 'case', 'study', 'exists', 'apart', 'movie', 'political', 'ramifications']",3
566,22,"['Hatfield', 'Hicks', 'make', 'oddest', 'couples']",2
569,22,"['Hatfield', 'Hicks']",2
570,22,['Hatfield'],2
572,22,['Hicks'],2
573,22,"['make', 'oddest', 'couples']",2
574,22,['make'],2
575,22,"['oddest', 'couples']",2
576,22,['oddest'],2
577,22,['oddest'],1
578,22,['couples'],2
580,22,"['sense', 'movie', 'becomes', 'study', 'gambles', 'publishing', 'world', 'offering', 'case', 'study', 'exists', 'apart', 'movie', 'political', 'ramifications']",3
583,22,"['movie', 'becomes', 'study', 'gambles', 'publishing', 'world', 'offering', 'case', 'study', 'exists', 'apart', 'movie', 'political', 'ramifications']",2
585,22,"['becomes', 'study', 'gambles', 'publishing', 'world', 'offering', 'case', 'study', 'exists', 'apart', 'movie', 'political', 'ramifications']",2
586,22,"['becomes', 'study', 'gambles', 'publishing', 'world']",2
588,22,['becomes'],2
589,22,"['study', 'gambles', 'publishing', 'world']",2
590,22,['study'],2
592,22,"['gambles', 'publishing', 'world']",2
594,22,['gambles'],2
596,22,"['publishing', 'world']",2
599,22,['publishing'],2
600,22,['world'],2
601,22,"['offering', 'case', 'study', 'exists', 'apart', 'movie', 'political', 'ramifications']",2
602,22,['offering'],2
603,22,"['case', 'study', 'exists', 'apart', 'movie', 'political', 'ramifications']",3
604,22,"['case', 'study']",2
606,22,['case'],2
607,22,"['exists', 'apart', 'movie', 'political', 'ramifications']",2
609,22,"['exists', 'apart']",2
610,22,['exists'],2
611,22,['apart'],2
612,22,"['movie', 'political', 'ramifications']",2
617,22,"['political', 'ramifications']",2
618,22,['political'],2
619,22,['ramifications'],2
620,23,"['It', 'like', 'going', 'house', 'party', 'watching', 'host', 'defend', 'frothing', 'ex', 'girlfriend']",1
621,23,"['like', 'going', 'house', 'party', 'watching', 'host', 'defend', 'frothing', 'ex', 'girlfriend']",1
624,23,"['going', 'house', 'party', 'watching', 'host', 'defend', 'frothing', 'ex', 'girlfriend']",1
625,23,"['going', 'house', 'party']",2
627,23,['going'],2
628,23,"['house', 'party']",2
631,23,['house'],2
632,23,['party'],2
633,23,"['watching', 'host', 'defend', 'frothing', 'ex', 'girlfriend']",2
634,23,['watching'],2
635,23,"['host', 'defend', 'frothing', 'ex', 'girlfriend']",2
636,23,['host'],2
638,23,"['defend', 'frothing', 'ex', 'girlfriend']",2
639,23,['defend'],3
640,23,['defend'],2
642,23,"['frothing', 'ex', 'girlfriend']",2
646,23,['frothing'],1
647,23,"['ex', 'girlfriend']",2
648,24,"['That', 'Chuck', 'Norris', 'grenade', 'gag', 'occurs', 'times', 'Windtalkers', 'good', 'indication', 'serious', 'minded', 'film']",2
649,24,"['That', 'Chuck', 'Norris', 'grenade', 'gag']",2
650,24,"['Chuck', 'Norris', 'grenade', 'gag']",2
652,24,['Chuck'],2
653,24,"['Norris', 'grenade', 'gag']",2
654,24,['Norris'],2
655,24,"['grenade', 'gag']",2
658,24,['grenade'],1
659,24,['gag'],2
660,24,['gag'],1
662,24,"['occurs', 'times', 'Windtalkers', 'good', 'indication', 'serious', 'minded', 'film']",2
663,24,"['occurs', 'times', 'Windtalkers', 'good', 'indication', 'serious', 'minded', 'film']",3
664,24,['occurs'],2
665,24,"['times', 'Windtalkers', 'good', 'indication', 'serious', 'minded', 'film']",2
666,24,"['times', 'Windtalkers']",2
667,24,['times'],2
671,24,['Windtalkers'],2
674,24,"['good', 'indication', 'serious', 'minded', 'film']",3
676,24,"['good', 'indication']",3
678,24,['indication'],2
679,24,"['serious', 'minded', 'film']",2
680,24,"['serious', 'minded', 'film']",3
684,24,"['serious', 'minded']",2
685,24,['film'],2
687,25,"['The', 'plot', 'romantic', 'comedy', 'boilerplate', 'start', 'finish']",2
688,25,"['The', 'plot']",2
689,25,['plot'],2
690,25,"['romantic', 'comedy', 'boilerplate', 'start', 'finish']",2
691,25,"['romantic', 'comedy', 'boilerplate', 'start', 'finish']",3
693,25,"['romantic', 'comedy', 'boilerplate', 'start']",2
694,25,"['romantic', 'comedy', 'boilerplate']",1
695,25,['romantic'],2
696,25,"['comedy', 'boilerplate']",2
697,25,['comedy'],3
698,25,['boilerplate'],2
699,25,['start'],2
701,25,['finish'],2
703,26,"['It', 'arrives', 'impeccable', 'pedigree', 'mongrel', 'pep', 'almost', 'indecipherable', 'plot', 'complications']",2
704,26,"['arrives', 'impeccable', 'pedigree', 'mongrel', 'pep', 'almost', 'indecipherable', 'plot', 'complications']",2
706,26,['arrives'],2
707,26,"['impeccable', 'pedigree', 'mongrel', 'pep', 'almost', 'indecipherable', 'plot', 'complications']",2
708,26,"['impeccable', 'pedigree', 'mongrel', 'pep', 'almost', 'indecipherable', 'plot', 'complications']",1
709,26,"['impeccable', 'pedigree', 'mongrel', 'pep', 'almost']",2
710,26,"['impeccable', 'pedigree', 'mongrel', 'pep']",2
712,26,"['impeccable', 'pedigree', 'mongrel', 'pep']",3
714,26,['impeccable'],4
715,26,"['pedigree', 'mongrel', 'pep']",2
716,26,['pedigree'],2
717,26,"['mongrel', 'pep']",2
719,26,['mongrel'],1
720,26,['pep'],2
721,26,['almost'],2
722,26,"['indecipherable', 'plot', 'complications']",1
723,26,['indecipherable'],2
724,26,"['plot', 'complications']",2
725,26,['complications'],1
726,27,"['film', 'clearly', 'means', 'preach', 'exclusively', 'converted']",2
727,27,"['film', 'clearly', 'means']",2
729,27,"['clearly', 'means']",2
731,27,['clearly'],2
732,27,['means'],2
734,27,"['preach', 'exclusively', 'converted']",1
735,27,"['preach', 'exclusively', 'converted']",2
736,27,"['preach', 'exclusively']",2
737,27,['preach'],2
738,27,['exclusively'],2
739,27,['converted'],2
742,28,"['While', 'The', 'Importance', 'Being', 'Earnest', 'offers', 'opportunities', 'occasional', 'smiles', 'chuckles', 'give', 'us', 'reason', 'theater', 'beyond', 'Wilde', 'wit', 'actors', 'performances']",1
743,28,"['While', 'The', 'Importance', 'Being', 'Earnest', 'offers', 'opportunities', 'occasional', 'smiles', 'chuckles']",3
744,28,['While'],2
745,28,"['The', 'Importance', 'Being', 'Earnest', 'offers', 'opportunities', 'occasional', 'smiles', 'chuckles']",3
746,28,"['The', 'Importance', 'Being', 'Earnest']",3
747,28,"['Being', 'Earnest']",2
749,28,"['offers', 'opportunities', 'occasional', 'smiles', 'chuckles']",2
750,28,"['offers', 'opportunities', 'occasional', 'smiles']",3
752,28,['offers'],2
753,28,"['opportunities', 'occasional', 'smiles']",2
754,28,['opportunities'],2
755,28,"['occasional', 'smiles']",3
757,28,['occasional'],2
758,28,['smiles'],2
759,28,['chuckles'],1
760,28,"['give', 'us', 'reason', 'theater', 'beyond', 'Wilde', 'wit', 'actors', 'performances']",2
763,28,"['give', 'us', 'reason', 'theater', 'beyond', 'Wilde', 'wit', 'actors', 'performances']",1
765,28,"['give', 'us']",2
766,28,['give'],3
767,28,"['reason', 'theater', 'beyond', 'Wilde', 'wit', 'actors', 'performances']",2
769,28,"['theater', 'beyond', 'Wilde', 'wit', 'actors', 'performances']",2
771,28,['theater'],2
774,28,['theater'],3
775,28,"['beyond', 'Wilde', 'wit', 'actors', 'performances']",2
776,28,['beyond'],2
777,28,"['Wilde', 'wit', 'actors', 'performances']",2
778,28,"['Wilde', 'wit']",3
779,28,"['Wilde', 'wit']",2
780,28,['Wilde'],2
782,28,"['actors', 'performances']",2
783,28,['actors'],2
787,29,"['The', 'latest', 'vapid', 'actor', 'exercise', 'appropriate', 'structure', 'Arthur', 'Schnitzler', 'Reigen']",1
788,29,"['The', 'latest']",2
789,29,['latest'],2
790,29,"['vapid', 'actor', 'exercise', 'appropriate', 'structure', 'Arthur', 'Schnitzler', 'Reigen']",2
791,29,"['vapid', 'actor', 'exercise', 'appropriate', 'structure', 'Arthur', 'Schnitzler', 'Reigen']",1
792,29,"['vapid', 'actor', 'exercise']",1
793,29,['vapid'],1
794,29,"['actor', 'exercise']",2
795,29,['actor'],2
797,29,['exercise'],2
798,29,"['appropriate', 'structure', 'Arthur', 'Schnitzler', 'Reigen']",2
800,29,"['appropriate', 'structure']",2
801,29,['appropriate'],3
802,29,['structure'],2
804,29,"['Arthur', 'Schnitzler', 'Reigen']",2
805,29,"['Arthur', 'Schnitzler', 'Reigen']",3
806,29,"['Arthur', 'Schnitzler']",2
807,29,['Arthur'],2
808,29,['Schnitzler'],2
810,29,['Reigen'],2
811,30,"['More', 'vaudeville', 'show', 'well', 'constructed', 'narrative', 'terms', 'inoffensive', 'actually', 'rather', 'sweet']",2
812,30,"['More', 'vaudeville', 'show', 'well', 'constructed', 'narrative', 'terms', 'inoffensive', 'actually', 'rather', 'sweet']",3
813,30,"['More', 'vaudeville', 'show', 'well', 'constructed', 'narrative']",2
814,30,"['More', 'vaudeville', 'show', 'well', 'constructed', 'narrative']",1
816,30,"['More', 'vaudeville']",2
817,30,['vaudeville'],2
818,30,"['show', 'well', 'constructed', 'narrative']",3
819,30,['show'],2
820,30,"['well', 'constructed', 'narrative']",3
822,30,"['well', 'constructed', 'narrative']",4
